0.00	0.00	0.00
-133.00	-370.00	2.00
-135.00	-370.00	0.00
-137.00	-370.00	0.00
-133.00	-368.00	1.00
-137.00	-367.00	1.00
-143.00	-366.00	-6.00
-150.00	-365.00	-25.00
-141.00	-366.00	-31.00
-115.00	-369.00	-71.00
-94.00	-372.00	-94.00
-66.00	-371.00	-124.00
-18.00	-377.00	-140.00
0.00	-380.00	-141.00
-12.00	-380.00	-136.00
10.00	-380.00	-130.00
38.00	-379.00	-138.00
60.00	-379.00	-132.00
81.00	-382.00	-123.00
116.00	-379.00	-100.00
136.00	-380.00	-71.00
154.00	-377.00	-18.00
150.00	-374.00	62.00
115.00	-376.00	95.00
83.00	-375.00	124.00
60.00	-377.00	136.00
64.00	-374.00	133.00
36.00	-372.00	142.00
35.00	-373.00	145.00
-19.00	-374.00	138.00
-81.00	-363.00	143.00
-115.00	-365.00	95.00
-137.00	-367.00	58.00
-142.00	-367.00	7.00
-125.00	-367.00	-81.00
-95.00	-364.00	-134.00
-50.00	-374.00	-130.00
-20.00	-376.00	-137.00
-16.00	-377.00	-139.00
-14.00	-377.00	-141.00
87.00	-379.00	-121.00
126.00	-379.00	-75.00
143.00	-381.00	-43.00
150.00	-383.00	5.00
139.00	-380.00	59.00
116.00	-376.00	101.00
64.00	-375.00	137.00
67.00	-376.00	131.00
51.00	-375.00	138.00
50.00	-376.00	139.00
39.00	-373.00	142.00
-8.00	-372.00	149.00
-51.00	-371.00	133.00
-96.00	-368.00	100.00
-107.00	-371.00	83.00
-126.00	-370.00	43.00
-125.00	-374.00	-7.00
-131.00	-369.00	-50.00
-100.00	-371.00	-82.00
-71.00	-373.00	-112.00
-45.00	-374.00	-125.00
-28.00	-375.00	-131.00
24.00	-377.00	-135.00
49.00	-379.00	-135.00
59.00	-379.00	-126.00
112.00	-381.00	-92.00
147.00	-382.00	-2.00
153.00	-379.00	8.00
132.00	-382.00	68.00
128.00	-378.00	86.00
76.00	-360.00	107.00
157.00	-114.00	365.00
151.00	-109.00	396.00
161.00	-119.00	403.00
158.00	-123.00	398.00
99.00	-108.00	174.00
-24.00	-296.00	-65.00
-44.00	-317.00	-25.00
-73.00	-317.00	13.00
-51.00	-389.00	-21.00
-69.00	-389.00	-64.00
-96.00	-368.00	-36.00
-116.00	-364.00	-22.00
-122.00	-360.00	-41.00
-119.00	-362.00	-69.00
-115.00	-362.00	-39.00
-123.00	-364.00	-35.00
-120.00	-362.00	-37.00
-120.00	-365.00	-37.00
-119.00	-365.00	-35.00
-121.00	-363.00	-34.00
-122.00	-366.00	-34.00
-117.00	-363.00	-37.00
-121.00	-365.00	-32.00
-119.00	-364.00	-33.00
-121.00	-363.00	-35.00
-119.00	-365.00	-35.00
-120.00	-364.00	-36.00
-121.00	-362.00	-35.00
-118.00	-365.00	-35.00
-118.00	-362.00	-37.00
-120.00	-362.00	-34.00
-121.00	-365.00	-36.00
-121.00	-364.00	-32.00
-121.00	-364.00	-36.00
-119.00	-362.00	-32.00
-120.00	-364.00	-32.00
-117.00	-365.00	-36.00
-121.00	-364.00	-36.00
-117.00	-365.00	-33.00
-119.00	-362.00	-37.00
-122.00	-364.00	-33.00
-121.00	-360.00	-36.00
-121.00	-362.00	-33.00
-119.00	-364.00	-32.00
-123.00	-363.00	-34.00
-121.00	-364.00	-33.00
-118.00	-365.00	-36.00
-121.00	-365.00	-34.00
-119.00	-364.00	-34.00
-120.00	-363.00	-34.00
-122.00	-363.00	-36.00
-120.00	-364.00	-37.00
-121.00	-362.00	-37.00
-120.00	-367.00	-34.00
-121.00	-365.00	-31.00
-120.00	-364.00	-36.00
-122.00	-363.00	-35.00
-120.00	-362.00	-35.00
-119.00	-364.00	-33.00
